epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,104.793,0.8255,1.3487,0.14169,0.95432,0.71713,0.7573,0.44286,0.82056,0.37539,0.10299,0.000661064,0.000661064,0.000661064
2,197.794,0.6888,0.43038,0.05958,0.96101,0.90936,0.9193,0.54546,0.47684,0.42637,0.04327,0.00130144,0.00130144,0.00130144
3,290.875,0.67497,0.42973,0.05833,0.97444,0.86355,0.91814,0.52416,0.57288,0.40665,0.07629,0.00191542,0.00191542,0.00191542
4,382.613,0.74018,0.4568,0.06226,0.97646,0.90895,0.93877,0.56618,0.4637,0.43758,0.04145,0.0018812,0.0018812,0.0018812
5,474.761,0.60675,0.43477,0.04867,0.96743,0.92331,0.94388,0.54154,0.48882,0.40986,0.04218,0.0018416,0.0018416,0.0018416
6,566.116,0.59631,0.42985,0.04567,0.97464,0.8803,0.91428,0.5416,0.49536,0.4224,0.04462,0.001802,0.001802,0.001802
7,657.094,0.63242,0.44235,0.04834,0.94719,0.69675,0.69574,0.43349,nan,nan,nan,0.0017624,0.0017624,0.0017624
8,748.417,0.60977,0.43077,0.04771,0.96725,0.94136,0.94828,0.56844,0.46619,0.41195,0.04092,0.0017228,0.0017228,0.0017228
9,839.964,0.59009,0.42381,0.04309,0.98958,0.94555,0.96392,0.62078,0.41273,0.39515,0.03651,0.0016832,0.0016832,0.0016832
10,931.184,0.54611,0.41287,0.0397,0.98633,0.93447,0.94868,0.57947,0.45952,0.41339,0.03921,0.0016436,0.0016436,0.0016436
11,1022.09,0.56138,0.41799,0.04046,0.98747,0.93825,0.95317,0.60067,0.43428,0.39356,0.03817,0.001604,0.001604,0.001604
12,1112.88,0.54238,0.41482,0.04078,0.96947,0.93725,0.95484,0.60611,0.42371,0.41893,0.03579,0.0015644,0.0015644,0.0015644
13,1204.19,0.56819,0.42327,0.04257,0.90344,0.90637,0.93508,0.6034,0.41589,0.46701,0.03607,0.0015248,0.0015248,0.0015248
14,1295.28,0.53044,0.41195,0.03807,0.98223,0.9253,0.94814,0.59754,0.43005,0.41882,0.03634,0.0014852,0.0014852,0.0014852
15,1386.28,0.54539,0.41517,0.03933,0.98963,0.95056,0.9687,0.64118,0.38343,0.38476,0.0327,0.0014456,0.0014456,0.0014456
16,1477.65,0.51899,0.40747,0.03905,0.97309,0.93633,0.94878,0.58213,0.43787,0.40517,0.03793,0.001406,0.001406,0.001406
17,1568.73,0.53299,0.42195,0.03821,0.98945,0.93924,0.95506,0.61946,0.41333,0.39295,0.03781,0.0013664,0.0013664,0.0013664
18,1659.67,0.51984,0.40911,0.03723,0.98246,0.94866,0.96097,0.62078,0.40456,0.39112,0.03332,0.0013268,0.0013268,0.0013268
19,1750.88,0.51477,0.40377,0.03699,0.98974,0.96079,0.97122,0.62818,0.40539,0.38221,0.035,0.0012872,0.0012872,0.0012872
20,1842.1,0.56788,0.41692,0.04015,0.982,0.94323,0.94714,0.5717,0.45153,0.40162,0.03987,0.0012476,0.0012476,0.0012476
21,1933.73,0.52471,0.40439,0.03603,0.99072,0.95747,0.9721,0.64251,0.39196,0.37788,0.03324,0.001208,0.001208,0.001208
