epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2835,2.66123,2.6105,0.82189,0.90574,0.38283,0.69834,0.27825,2.25672,2.31255,0.77794,0.000661064,0.000661064,0.000661064
2,26.8677,2.50725,1.45815,0.78114,0.86913,0.78717,0.8155,0.31533,2.24552,1.14471,0.77572,0.00130144,0.00130144,0.00130144
3,38.613,2.47023,1.18772,0.77572,0.79639,0.73406,0.75978,0.28018,2.34759,1.11258,0.77367,0.00191542,0.00191542,0.00191542
4,50.235,2.37166,1.0145,0.76144,0.92475,0.82008,0.84774,0.38441,2.04792,0.89136,0.75818,0.0018812,0.0018812,0.0018812
5,61.8122,2.35493,0.98132,0.75961,0.93919,0.80976,0.86198,0.36384,2.09656,0.925,0.75978,0.0018416,0.0018416,0.0018416
6,73.4019,2.29674,0.91023,0.75402,0.86748,0.82968,0.86349,0.37821,2.0725,1.03794,0.75367,0.001802,0.001802,0.001802
7,85.0611,2.19344,0.8691,0.75938,0.94058,0.79482,0.86294,0.37722,2.04049,0.89207,0.75529,0.0017624,0.0017624,0.0017624
8,96.596,2.24692,0.87108,0.75036,0.94659,0.82974,0.88125,0.37701,2.06281,0.82575,0.75835,0.0017228,0.0017228,0.0017228
9,108.097,2.24433,0.8503,0.75029,0.92703,0.87052,0.89189,0.41122,1.96395,0.75068,0.75072,0.0016832,0.0016832,0.0016832
10,119.731,2.16821,0.82801,0.74832,0.95016,0.87355,0.89499,0.43219,1.90568,0.7293,0.74661,0.0016436,0.0016436,0.0016436
11,131.327,2.13922,0.82204,0.74554,0.94316,0.88147,0.90133,0.42338,1.938,0.73068,0.74717,0.001604,0.001604,0.001604
12,142.85,2.14873,0.82384,0.75643,0.94171,0.86952,0.89623,0.42986,1.90339,0.74029,0.74538,0.0015644,0.0015644,0.0015644
13,154.446,2.13279,0.80436,0.74956,0.95086,0.8755,0.89832,0.43302,1.90988,0.7229,0.74505,0.0015248,0.0015248,0.0015248
14,166.005,2.10081,0.7879,0.73651,0.94636,0.87856,0.89494,0.43389,1.88848,0.69982,0.74168,0.0014852,0.0014852,0.0014852
15,177.587,2.10355,0.79072,0.74512,0.94447,0.86355,0.90585,0.39411,1.96582,0.72598,0.74506,0.0014456,0.0014456,0.0014456
16,189.144,2.05712,0.76877,0.7451,0.93942,0.86501,0.8936,0.44339,1.88624,0.74094,0.74089,0.001406,0.001406,0.001406
17,200.736,2.09323,0.79578,0.74081,0.9544,0.88845,0.91474,0.44316,1.87609,0.68711,0.74032,0.0013664,0.0013664,0.0013664
18,212.326,2.02738,0.75865,0.74493,0.95184,0.88247,0.9107,0.445,1.87492,0.68618,0.73942,0.0013268,0.0013268,0.0013268
19,223.888,2.07945,0.76788,0.73588,0.95566,0.90169,0.92735,0.45268,1.84982,0.68942,0.74101,0.0012872,0.0012872,0.0012872
20,235.412,1.969,0.73487,0.73514,0.95837,0.8994,0.91024,0.46064,1.78202,0.65476,0.73829,0.0012476,0.0012476,0.0012476
21,247.089,2.01155,0.73786,0.73488,0.95091,0.89044,0.90744,0.45486,1.83499,0.66786,0.7388,0.001208,0.001208,0.001208
22,258.636,2.02333,0.74535,0.73691,0.95232,0.89442,0.90605,0.43571,1.90487,0.68306,0.7376,0.0011684,0.0011684,0.0011684
23,270.106,1.98072,0.72523,0.73886,0.96081,0.91434,0.93756,0.48512,1.76125,0.65878,0.73326,0.0011288,0.0011288,0.0011288
24,281.816,2.01059,0.7384,0.73816,0.93909,0.88048,0.92219,0.4707,1.81549,0.67582,0.73558,0.0010892,0.0010892,0.0010892
25,293.452,1.96116,0.7179,0.73602,0.95814,0.90538,0.91945,0.48211,1.77553,0.62922,0.73709,0.0010496,0.0010496,0.0010496
26,305.101,1.96091,0.71717,0.73468,0.96385,0.90538,0.92216,0.47897,1.75243,0.6277,0.73493,0.00101,0.00101,0.00101
27,316.633,1.94652,0.70518,0.73331,0.96431,0.90637,0.92876,0.48956,1.75381,0.62036,0.73578,0.0009704,0.0009704,0.0009704
28,328.274,1.952,0.70933,0.73232,0.96306,0.90894,0.93208,0.48908,1.76072,0.6253,0.74068,0.0009308,0.0009308,0.0009308
29,340.089,1.93756,0.69897,0.73595,0.96105,0.90934,0.92323,0.48672,1.74859,0.63307,0.73052,0.0008912,0.0008912,0.0008912
30,351.821,1.92946,0.69312,0.7327,0.96523,0.91246,0.92986,0.48766,1.75483,0.62147,0.73403,0.0008516,0.0008516,0.0008516
31,363.29,1.92404,0.70045,0.73317,0.96731,0.91833,0.94384,0.49416,1.71502,0.61996,0.73812,0.000812,0.000812,0.000812
32,375.038,1.93365,0.69269,0.72857,0.95748,0.91952,0.93422,0.4938,1.74145,0.61508,0.73197,0.0007724,0.0007724,0.0007724
33,386.548,1.9122,0.68396,0.72844,0.97017,0.91335,0.93988,0.50845,1.68353,0.60636,0.73099,0.0007328,0.0007328,0.0007328
34,398.152,1.88466,0.68536,0.73268,0.9691,0.90637,0.92836,0.49179,1.74857,0.62412,0.73496,0.0006932,0.0006932,0.0006932
35,409.663,1.92106,0.68992,0.73225,0.96763,0.91434,0.93389,0.51146,1.68871,0.59323,0.73271,0.0006536,0.0006536,0.0006536
36,421.292,1.89739,0.67525,0.72747,0.96555,0.91335,0.93382,0.50609,1.68363,0.60057,0.73251,0.000614,0.000614,0.000614
37,432.808,1.86858,0.66669,0.72748,0.97059,0.92045,0.93502,0.50837,1.69587,0.60017,0.73179,0.0005744,0.0005744,0.0005744
38,444.336,1.87846,0.66807,0.73107,0.96801,0.91932,0.93706,0.51731,1.67569,0.5954,0.7292,0.0005348,0.0005348,0.0005348
39,455.882,1.86432,0.66428,0.72813,0.97051,0.91235,0.93737,0.50518,1.70438,0.60051,0.73012,0.0004952,0.0004952,0.0004952
40,467.579,1.84325,0.65051,0.73113,0.97055,0.91905,0.93841,0.51422,1.6591,0.58476,0.73141,0.0004556,0.0004556,0.0004556
41,479.394,1.68991,0.62982,0.73928,0.95817,0.91262,0.92902,0.4975,1.7122,0.6051,0.73326,0.000416,0.000416,0.000416
42,490.695,1.6954,0.61259,0.73359,0.97874,0.91693,0.93504,0.50677,1.68733,0.59468,0.73032,0.0003764,0.0003764,0.0003764
43,502.08,1.69344,0.61729,0.73653,0.9624,0.91788,0.93313,0.5165,1.6707,0.60002,0.72971,0.0003368,0.0003368,0.0003368
