epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1909,2.44756,2.64434,0.79809,0.91057,0.80677,0.85184,0.34883,2.21695,1.37918,0.76461,0.000661064,0.000661064,0.000661064
2,37.3418,2.34064,0.96942,0.76899,0.90034,0.78286,0.82151,0.31644,2.18703,0.94375,0.75165,0.00130144,0.00130144,0.00130144
3,54.6435,2.37603,0.97376,0.76692,0.77525,0.76394,0.79287,0.33277,2.14433,1.20083,0.76184,0.00191542,0.00191542,0.00191542
4,71.7533,2.27267,0.91078,0.75459,0.94435,0.8496,0.87791,0.37221,2.08005,0.79374,0.76264,0.0018812,0.0018812,0.0018812
5,89.1844,2.2322,0.87613,0.75415,0.94022,0.86154,0.8776,0.39254,1.95937,0.76336,0.74629,0.0018416,0.0018416,0.0018416
6,106.948,2.17508,0.83194,0.74665,0.94857,0.84506,0.89193,0.4041,1.97264,0.81312,0.74827,0.001802,0.001802,0.001802
7,124.738,2.13056,0.81774,0.7501,0.89193,0.83022,0.87249,0.39698,2.01841,1.2287,0.75229,0.0017624,0.0017624,0.0017624
8,142.157,2.13577,0.8256,0.74398,0.95654,0.87689,0.90858,0.42872,1.8986,0.72128,0.74765,0.0017228,0.0017228,0.0017228
9,159.562,2.12068,0.78902,0.74134,0.96359,0.81709,0.88588,0.42731,1.83772,0.82206,0.74093,0.0016832,0.0016832,0.0016832
10,176.924,2.06541,0.78635,0.74115,0.95541,0.87492,0.89953,0.4418,1.89713,0.71443,0.74027,0.0016436,0.0016436,0.0016436
11,194.466,2.051,0.77401,0.74006,0.95941,0.90139,0.92385,0.46117,1.82008,0.66759,0.74094,0.001604,0.001604,0.001604
12,212.109,2.03029,0.77059,0.74691,0.9531,0.89056,0.91129,0.44089,1.8822,0.7522,0.74448,0.0015644,0.0015644,0.0015644
13,229.529,2.03136,0.76518,0.74064,0.95205,0.88745,0.90702,0.45724,1.82262,0.67028,0.74285,0.0015248,0.0015248,0.0015248
14,246.928,2.007,0.74621,0.7309,0.96795,0.90229,0.9212,0.47325,1.78116,0.6711,0.73611,0.0014852,0.0014852,0.0014852
15,264.435,2.01464,0.74466,0.73796,0.96308,0.91135,0.93315,0.46523,1.82597,0.67949,0.73934,0.0014456,0.0014456,0.0014456
16,281.857,1.97094,0.72624,0.7398,0.96242,0.90339,0.92688,0.49156,1.73931,0.63689,0.73054,0.001406,0.001406,0.001406
17,299.442,1.96684,0.72333,0.73232,0.96245,0.91534,0.93437,0.48405,1.74738,0.64497,0.73513,0.0013664,0.0013664,0.0013664
18,316.904,1.92341,0.71268,0.73973,0.95835,0.90239,0.92723,0.4607,1.80381,0.66624,0.73578,0.0013268,0.0013268,0.0013268
19,334.35,1.98872,0.72724,0.72967,0.96825,0.90438,0.92971,0.49477,1.72099,0.62547,0.73214,0.0012872,0.0012872,0.0012872
20,351.928,1.89207,0.70536,0.73034,0.97515,0.91335,0.94094,0.49301,1.69835,0.62573,0.73194,0.0012476,0.0012476,0.0012476
